player,pos,age,team,g,fg,threep,twop,reb,ast,pts,year,contract2020,predicted2020,differential
Aaron Gordon,PF,24,ORL,62,0.47,0.369,0.457,7.7,3.7,14.4,2019,18136364,"$9,631,250 ","$8,505,114 "
Al Horford,C,33,PHI,67,0.45,0.35,0.516,6.8,4,11.9,2019,27500000,"$8,961,250 ","$18,538,750 "
Alec Burks,SG,28,GSW,66,0.422,0.375,0.465,4.3,2.9,15,2019,6000000,"$8,961,250 ","($2,961,250)"
Alex Len,C,26,ATL,55,0.456,0.28,0.531,5.8,0.9,8,2019,2320000,"$5,100,000 ","($2,780,000)"
Andre Drummond,C,26,CLE,57,0.533,0.143,0.551,15.2,2.7,17.7,2019,28751775,"$17,922,500 ","$10,829,275 "
Andrew Wiggins,SF,24,GSW,54,0.447,0.332,0.506,5.1,3.7,21.8,2019,29542010,"$9,631,250 ","$19,910,760 "
Anthony Davis,C,26,LAL,62,0.436,0.335,0.541,9.3,3.2,26.1,2019,32742000,"$17,922,500 ","$14,819,500 "
Austin Rivers,SG,27,HOU,68,0.432,0.317,0.571,2.6,1.7,8.8,2019,3174603,"$5,100,000 ","($1,925,397)"
Ben McLemore,SF,26,HOU,71,0.415,0.326,0.656,2.2,0.8,10.1,2019,2283034,"$9,631,250 ","($7,348,216)"
Blake Griffin,PF,30,DET,18,0.352,0.243,0.439,4.7,3.3,15.5,2019,36595996,"$5,300,000 ","$31,295,996 "
Bobby Portis,PF,24,NYK,66,0.742,0.348,0.493,5.1,1.5,10.1,2019,3623000,"$9,631,250 ","($6,008,250)"
Bogdan Bogdanovi?,SG,27,SAC,61,0.467,0.387,0.532,3.4,3.4,15.1,2019,18000000,"$8,961,250 ","$9,038,750 "
Bradley Beal,SG,26,WAS,57,0.466,0.353,0.515,4.2,6.1,30.5,2019,28751775,"$17,922,500 ","$10,829,275 "
Brandon Clarke,PF,23,MEM,58,0.44,0.35,0.464,5.9,1.4,12.1,2019,2602920,"$9,631,250 ","($7,028,330)"
Brandon Ingram,SF,22,NOP,62,0.463,0.393,0.501,6.1,4.2,23.8,2019,27285000,"$19,262,500 ","$8,022,500 "
Brook Lopez,C,31,MIL,68,0.455,0.37,0.567,4.6,1.5,12,2019,12697675,"$8,961,250 ","$3,736,425 "
Bruce Brown,PG,23,DET,58,0.667,0.339,0.47,4.7,4,8.9,2019,1663861,"$20,602,500 ","($18,938,639)"
Bryn Forbes,SG,26,SAS,63,0.446,0.364,0.412,2,1.7,11.2,2019,2337145,"$5,100,000 ","($2,762,855)"
Buddy Hield,SG,27,SAC,72,0.423,0.394,0.479,4.6,3,19.2,2019,24431818,"$19,262,500 ","$5,169,318 "
