Player,Position,Age,Team,Year ,Contract Salary
Aaron Gordon,PF,20,ORL,2015,"$4,171,680 "
Aaron Gordon,PF,21,ORL,2016,"$4,351,320 "
Aaron Gordon,PF,22,ORL,2017,"$5,504,420 "
Aaron Gordon,PF,23,ORL,2018,"$21,590,909 "
Aaron Gordon,PF,24,ORL,2019,"$19,863,636 "
Andre Drummond,C,22,DET,2015,"$3,272,091 "
Andre Drummond,C,23,DET,2016,"$22,116,750 "
Andre Drummond,C,24,DET,2017,"$23,775,506 "
Andre Drummond,C,25,DET,2018,"$25,434,263 "
Andre Drummond,C,26,CLE,2019,"$27,093,019 "
Andrew Wiggins,SF,20,MIN,2015,"$5,758,680 "
Andrew Wiggins,SF,21,MIN,2016,"$6,006,600 "
Andrew Wiggins,SF,22,MIN,2017,"$7,574,322 "
Andrew Wiggins,SF,23,MIN,2018,"$25,467,250 "
Andrew Wiggins,SF,24,GSW,2019,"$27,504,630 "
Anthony Davis,C,22,NOP,2015,"$7,070,730 "
Anthony Davis,C,23,NOP,2016,"$22,116,750 "
Anthony Davis,C,24,NOP,2017,"$23,775,506 "
Anthony Davis,C,25,NOP,2018,"$25,434,263 "
Anthony Davis,C,26,LAL,2019,"$25,399,705 "
Bobby Portis,PF,20,CHI,2015,"$1,453,680 "
Bobby Portis,PF,21,CHI,2016,"$1,516,320 "
Bobby Portis,PF,22,CHI,2017,"$901,910 "
Bobby Portis,PF,23,WAS,2018,"$1,592,436 "
Bobby Portis,PF,24,NYK,2019,"$14,062,500 "
Bradley Beal,SG,22,WAS,2015,"$5,694,674 "
Bradley Beal,SG,23,WAS,2016,"$22,116,750 "
Bradley Beal,SG,24,WAS,2017,"$23,775,506 "
Bradley Beal,SG,25,WAS,2018,"$25,434,263 "
Bradley Beal,SG,26,WAS,2019,"$25,399,705 "
CJ McCollum,SG,24,POR,2015,"$2,525,160 "
CJ McCollum,SG,25,POR,2016,"$3,219,579 "
CJ McCollum,SG,26,POR,2017,"$23,962,572 "
CJ McCollum,SG,27,POR,2018,"$25,759,766 "
CJ McCollum,SG,28,POR,2019,"$25,834,649 "
D'Angelo Russell,PG,19,LAL,2015,"$5,103,120 "
D'Angelo Russell,PG,20,LAL,2016,"$5,332,800 "
D'Angelo Russell,PG,21,BRK,2017,"$5,562,360 "
D'Angelo Russell,PG,22,BRK,2018,"$7,019,698 "
D'Angelo Russell,PG,23,GSW,2019,"$25,579,688 "
Dennis Schroder,PG,22,ATL,2015,"$1,763,400 "
Dennis Schroder,PG,23,ATL,2016,"$2,708,582 "
Dennis Schroder,PG,24,ATL,2017,"$15,500,000 "
Dennis Schroder,PG,25,OKC,2018,"$15,500,000 "
Dennis Schroder,SG,26,OKC,2019,"$14,531,250 "
Devin Booker,SG,19,PHO,2015,"$2,127,840 "
Devin Booker,SG,20,PHO,2016,"$2,223,600 "
Devin Booker,SG,21,PHO,2017,"$2,319,360 "
Devin Booker,SG,22,PHO,2018,"$3,314,365 "
Devin Booker,SG,23,PHO,2019,"$25,579,688 "
Elfrid Payton,PG,21,ORL,2015,"$2,505,720 "
Elfrid Payton,PG,22,ORL,2016,"$2,613,600 "
Elfrid Payton,PG,23,PHO,2017,"$3,332,340 "
Elfrid Payton,PG,24,NOP,2018,"$3,000,000 "
Elfrid Payton,PG,25,NYK,2019,"$7,500,000 "
Giannis Antetokounmpo,PF,21,MIL,2015,"$1,953,960 "
Giannis Antetokounmpo,PF,22,MIL,2016,"$2,995,421 "
Giannis Antetokounmpo,PF,23,MIL,2017,"$22,471,910 "
Giannis Antetokounmpo,PF,24,MIL,2018,"$24,157,303 "
Giannis Antetokounmpo,PF,25,MIL,2019,"$24,227,528 "
Jae Crowder,SF,25,BOS,2015,"$6,796,117 "
Jae Crowder,SF,26,BOS,2016,"$6,286,408 "
Jae Crowder,SF,27,UTA,2017,"6,796,117"
Jae Crowder,SF,28,UTA,2018,"$7,305,825 "
Jae Crowder,SF,29,MIA,2019,"$7,327,062 "
Julius Randle,PF,21,LAL,2015,"$3,132,240 "
Julius Randle,PF,22,LAL,2016,"$3,267,120 "
Julius Randle,PF,23,LAL,2017,"$4,149,242 "
