,age,g,fg,threep,twop,reb,ast,pts,year,contract2020,more/less avg_salary
0,24,62,0.47,0.369,0.457,7.7,3.7,14.4,2019,18136364,1
1,33,67,0.45,0.35,0.516,6.8,4.0,11.9,2019,27500000,1
2,28,66,0.42200000000000004,0.375,0.465,4.3,2.9,15.0,2019,6000000,0
3,26,55,0.456,0.28,0.531,5.8,0.9,8.0,2019,2320000,0
4,26,57,0.5329999999999999,0.14300000000000002,0.551,15.2,2.7,17.7,2019,28751775,1
5,24,54,0.447,0.332,0.506,5.1,3.7,21.8,2019,29542010,1
6,26,62,0.436,0.335,0.541,9.3,3.2,26.1,2019,32742000,1
7,27,68,0.43200000000000005,0.317,0.5710000000000001,2.6,1.7,8.8,2019,3174603,0
8,26,71,0.415,0.326,0.6559999999999999,2.2,0.8,10.1,2019,2283034,0
9,30,18,0.35200000000000004,0.243,0.439,4.7,3.3,15.5,2019,36595996,1
10,24,66,0.742,0.348,0.493,5.1,1.5,10.1,2019,3623000,0
11,27,61,0.467,0.387,0.532,3.4,3.4,15.1,2019,18000000,1
12,26,57,0.466,0.353,0.515,4.2,6.1,30.5,2019,28751775,1
13,23,58,0.44,0.35,0.46399999999999997,5.9,1.4,12.1,2019,2602920,0
14,22,62,0.46299999999999997,0.39299999999999996,0.501,6.1,4.2,23.8,2019,27285000,1
15,31,68,0.455,0.37,0.5670000000000001,4.6,1.5,12.0,2019,12697675,1
16,23,58,0.667,0.33899999999999997,0.47,4.7,4.0,8.9,2019,1663861,0
17,26,63,0.446,0.364,0.41200000000000003,2.0,1.7,11.2,2019,2337145,0
18,27,72,0.423,0.39399999999999996,0.479,4.6,3.0,19.2,2019,24431818,1
19,23,57,0.41600000000000004,0.38,0.4,3.3,1.2,8.8,2019,4235160,0
20,35,58,0.43,0.385,0.485,6.3,1.5,15.4,2019,2564753,0
21,24,65,0.43700000000000006,0.215,0.49700000000000005,3.6,2.4,11.0,2019,8750000,1
22,23,28,0.457,0.381,0.496,3.9,0.9,7.8,2019,2443440,0
23,34,70,0.684,0.341,0.43200000000000005,5.0,6.7,17.6,2019,41358814,1
24,24,62,0.38299999999999995,0.35700000000000004,0.35700000000000004,6.3,1.0,13.1,2019,13015874,1
25,28,70,0.621,0.379,0.486,4.2,4.4,22.2,2019,29354152,1
26,19,65,0.39399999999999996,0.322,0.43,3.5,2.7,13.2,2019,5572680,0
27,27,58,0.524,0.284,0.5770000000000001,7.1,1.5,11.1,2019,15415730,1
28,21,65,0.47200000000000003,0.38299999999999995,0.501,3.1,3.0,20.8,2019,4991880,0
29,29,66,0.495,0.25,0.515,4.3,8.0,30.0,2019,31626953,1
30,23,33,0.457,0.391,0.424,3.7,6.2,23.6,2019,15500000,1
31,32,68,0.418,0.319,0.5,3.3,1.3,8.0,2019,15365854,1
32,27,54,0.434,0.424,0.47100000000000003,4.5,1.7,15.4,2019,13793103,1
33,22,51,0.44,0.336,0.541,3.8,6.8,21.1,2019,8099627,1
34,21,38,0.48,0.332,0.61,11.5,1.9,18.2,2019,10018200,1
35,21,60,0.483,0.222,0.541,3.7,2.9,7.6,2019,7812500,0
36,23,66,0.596,0.36700000000000005,0.48100000000000004,5.8,4.1,10.9,2019,14285714,1
37,30,68,0.431,0.292,0.511,5.5,5.6,22.1,2019,27739975,1
38,28,51,0.623,0.28600000000000003,0.465,9.8,1.6,9.0,2019,9258000,1
39,31,50,0.442,0.402,0.491,2.4,5.6,18.1,2019,7682927,0
40,23,70,0.489,0.354,0.5489999999999999,4.2,6.5,26.6,2019,29467800,1
41,24,63,0.382,0.284,0.397,3.4,7.5,18.2,2019,1663861,0
42,28,69,0.428,0.413,0.528,2.5,1.1,10.3,2019,7333333,0
43,29,43,0.431,0.315,0.47200000000000003,6.2,6.2,8.0,2019,22246956,1
44,25,73,0.38799999999999996,0.336,0.654,3.2,1.4,13.5,2019,1663861,0
45,25,45,0.402,0.37799999999999995,0.391,4.7,7.2,10.0,2019,5767000,0
46,27,58,0.5720000000000001,0.14300000000000002,0.581,7.4,1.0,8.1,2019,5005350,0
47,23,60,0.41700000000000004,0.231,0.55,4.6,2.1,14.0,2019,1517981,0
48,27,66,0.43700000000000006,0.43,0.6,2.6,3.2,18.5,2019,17000000,1
49,25,54,0.413,0.39,0.434,3.8,6.6,17.6,2019,21250000,1
50,22,72,0.518,0.33299999999999996,0.5,2.3,1.1,9.8,2019,1762796,0
51,33,62,0.37799999999999995,0.278,0.473,3.5,2.5,10.3,2019,5000000,0
52,21,61,0.34700000000000003,0.278,0.46399999999999997,1.6,1.0,8.9,2019,1663861,0
53,25,63,0.475,0.379,0.565,13.6,5.6,29.5,2019,27528088,1
54,26,62,0.425,0.33299999999999996,0.519,4.4,1.5,11.7,2019,2028594,0
55,29,52,0.5,0.38299999999999995,0.5539999999999999,6.7,4.1,17.5,2019,28500000,1
56,24,38,0.466,0.40399999999999997,0.545,2.2,1.4,8.7,2019,2545320,0
57,30,67,0.491,0.35200000000000004,0.368,13.5,1.2,15.5,2019,2320044,0
58,31,68,0.447,0.36700000000000005,0.473,3.2,4.9,10.9,2019,6146341,0
59,35,60,0.423,0.358,0.5710000000000001,2.5,2.0,15.3,2019,13013700,1
60,20,67,0.47700000000000004,0.335,0.511,3.9,7.3,17.8,2019,9166800,1
61,24,38,0.41100000000000003,0.32,0.5,5.6,1.8,14.0,2019,6500000,0
62,29,20,0.385,0.364,0.5429999999999999,5.4,1.8,11.9,2019,9258000,1
63,30,68,0.369,0.2,0.556,6.6,7.5,34.3,2019,40824000,1
64,21,70,0.649,0.38799999999999996,0.6579999999999999,9.6,1.6,11.1,2019,3909902,0
65,21,66,0.45,0.40299999999999997,0.48,7.0,3.0,23.4,2019,9897120,1
66,31,59,0.41200000000000003,0.2,0.565,2.4,5.2,10.9,2019,2564753,0
67,25,71,0.42,0.33299999999999996,0.479,3.5,1.2,12.0,2019,19047619,1
68,32,72,0.462,0.41,0.5,3.9,5.2,9.8,2019,10863637,1
69,25,51,0.47700000000000004,0.331,0.517,11.6,3.0,23.0,2019,29542010,1
70,22,41,0.583,0.401,0.642,10.1,1.5,21.6,2019,4137302,0
71,27,71,0.51,0.368,0.433,2.6,1.9,15.2,2019,11500000,1
72,20,57,0.389,0.317,0.56,2.1,2.4,8.8,2019,2063280,0
73,24,65,0.426,0.321,0.573,6.5,1.7,10.1,2019,3491159,0
74,22,22,0.401,0.446,0.54,3.0,1.6,9.0,2019,4767000,0
75,21,62,0.44799999999999995,0.5,0.541,4.3,1.6,8.6,2019,2651040,0
76,26,55,0.45,0.39,0.519,3.2,2.9,13.7,2019,10800000,1
77,29,61,0.455,0.36200000000000004,0.509,4.8,6.7,19.1,2019,26131111,1
78,25,64,0.45,0.297,0.561,9.7,3.1,19.5,2019,18900000,1
79,24,35,0.508,0.41200000000000003,0.586,10.8,4.4,26.5,2019,29467800,1
80,28,57,0.58,0.35,0.5329999999999999,7.1,4.9,27.1,2019,34379100,1
81,24,56,0.415,0.418,0.53,6.4,1.5,18.7,2019,14375000,1
82,29,56,0.425,0.381,0.47600000000000003,3.9,4.8,20.4,2019,34379100,1
83,26,69,0.41600000000000004,0.359,0.473,2.1,1.6,9.3,2019,12073020,1
84,31,56,0.45,0.35200000000000004,0.537,9.8,3.2,17.6,2019,31300000,1
85,28,62,0.435,0.42,0.5670000000000001,6.2,4.3,20.9,2019,33051724,1
86,26,67,0.429,0.414,0.5,4.3,2.4,5.8,2019,9505100,1
